Common or trade name,Chemical formula,CAS No.,AR5 GWP (100 year), Rotatable Bond Count,Defined Bond Stereocenter Count ,m/z 2nd Highest,Complexity,XLogP3-AA,Hydrogen Bond Acceptor Count,Bond dissociation energy (eV),B.p(C),Molecular Weight (g/mol),Exact Mass (g/mol),Monoisotopic Mass (g/mol),Heavy Atom Count,Undefined Atom Stereocenter Count ,1H NMR Spectra,13C NMR Spectra,17O NMR Spectra,19F NMR Spectra,Total Peaks,m/z Top Peaks,m/z 3nd Highest
"Perfluorobuta-1,3-diene",CF2=CFCF=CF2,685–63–2,0.003,1,-3.54E-11,162,160,1.8,6,6.752952456,5.999999999,162.03,161.990419,161.990419,10,5.11E-11,7.20922983,675.3474738,34.17346963,-94,50,93,31
HFC-1141; VF,"C2H3F, CH2=CHF",75–02–5,0.02,-3.44E-10,7.62E-11,44.99999999,10.3,1,1,6.92265091,-72.20000001,46.03999999,46.02187825,46.02187825,3,-6.39E-11,-0.809065273,147,52.04740853,-115,22,45.99999999,26.99999999
PFC-1216; Dyneon HFP,C3F6; CF3CF=CF2,116–15–4,0.05,-3.99E-11,6.12E-12,69,126,1.9,6,6.636173372,-28,150.02,149.990419,149.990419,9,-3.03E-11,9.574244095,471.5658694,35.64552878,-69,38,131,100
"R-1132a, 1,1-DIFLUOROETHYLENE, VF2",C2H2F2,75-38-7,0.052,-1.83E-10,-4.66E-11,45,26.99999999,1.3,2,7.00013265,-83,64.03,64.01245639,64.01245639,4,2.30E-11,4.311987739,-251.0958639,34.43397762,-147,24,64.00000001,30.99999998
HFO–1345zfc,C2F5CH=CH2,374–27–6,0.09,1,3.56E-12,58.15465709,111,2.6,5,6.57549195,3,146.06,146.0154909,146.0154909,9,-3.47E-12,4.780230161,248.3517163,38.46967842,-88,67.78969536,17.8130579,93.00410858
Perfluorobut-1-ene,CF3CF2CF=CF2,357–26–6,0.1,1,-2.33E-11,31,194,2.6,8,6.653290703,4.850000002,200.03,199.9872253,199.9872253,12,1.31E-11,11.72224913,590.4904851,37.13118131,-88,25,131,69
HFC-1243zf; TFP,"C3H3F3,CF3CH=CH2",677–21–4,0.12,-1.00E-11,-2.38E-11,27,51.5,2,3,6.85378702,-16,96.05,96.01868458,96.01868458,6,4.69E-11,1.38E-10,-156.6886666,42.30806715,-67,48,95,96
PMVE; HFE-216,CF3OCF=CF2,1187–93–5,0.17,1,1.07E-11,-34.27966153,142,2.4,7,6.853245513,-22,166.02,165.9853336,165.9853336,10,-1.09E-11,6.742330632,193.5492762,37.27347225,54.1738758,18.85438356,40.11435377,40.8749934
(Z)-HFC-1225ye,CF3CF=CHF(Z),5528–43–8,0.22,3.84E-13,1,193.9956584,98.7,1.6,5,6.747723332,-14.7,132.03,131.9998408,131.9998408,8,1.20E-12,7.240758735,87.40815581,39.51262995,-70,7.619688283,136.7562906,47.5409662
HFC-1234ze(Z),C3H2F4; trans-CF3CH=CHF; CF3CH=CHF(Z),29118–25–0,0.29,1.37E-12,1,188.3111765,69.5,1.7,4,6.799335648,21,114.04,114.0092627,114.0092627,7,3.89E-12,7.098196558,84.20046563,44.21138438,-91.73267785,3.233849326,77.14115719,-27.40976513
